Godina,Mjesec,Država,Šifra valute,Valuta,Jedinica,Kupovni za devize,Srednji za devize,Prodajni za devize
2011,Siječanj,Švicarska,756,CHF,1,"5,776921","5,794304","5,811687"
2011,Veljača,Švicarska,756,CHF,1,"5,693654","5,710786","5,727918"
2011,Ožujak,Švicarska,756,CHF,1,"5,729143","5,746383","5,763622"
2011,Travanj,Švicarska,756,CHF,1,"5,654392","5,671406","5,688420"
2011,Svibanj,Švicarska,756,CHF,1,"5,864894","5,882541","5,900189"
2011,Lipanj,Švicarska,756,CHF,1,"6,103247","6,121611","6,139976"
2011,Srpanj,Švicarska,756,CHF,1,"6,270129","6,288996","6,307863"
2011,Kolovoz,Švicarska,756,CHF,1,"6,637772","6,657745","6,677718"
2011,Rujan,Švicarska,756,CHF,1,"6,231991","6,250744","6,269496"
2011,Listopad,Švicarska,756,CHF,1,"6,066784","6,085039","6,103294"
2011,Studeni,Švicarska,756,CHF,1,"6,064495","6,082743","6,100991"
2011,Prosinac,Švicarska,756,CHF,1,"6,094091","6,112429","6,130766"
2012,Siječanj,Švicarska,756,CHF,1,"6,213283","6,231979","6,250675"
2012,Veljača,Švicarska,756,CHF,1,"6,260995","6,279834","6,298674"
2012,Ožujak,Švicarska,756,CHF,1,"6,233085","6,251841","6,270596"
2012,Travanj,Švicarska,756,CHF,1,"6,215481","6,234184","6,252886"
2012,Svibanj,Švicarska,756,CHF,1,"6,249660","6,268465","6,287270"
2012,Lipanj,Švicarska,756,CHF,1,"6,266009","6,284864","6,303718"
2012,Srpanj,Švicarska,756,CHF,1,"6,222294","6,241017","6,259740"
2012,Kolovoz,Švicarska,756,CHF,1,"6,215459","6,234162","6,252864"
2012,Rujan,Švicarska,756,CHF,1,"6,127455","6,145893","6,164330"
2012,Listopad,Švicarska,756,CHF,1,"6,182111","6,200713","6,219315"
2012,Studeni,Švicarska,756,CHF,1,"6,235590","6,254353","6,273116"
2012,Prosinac,Švicarska,756,CHF,1,"6,210296","6,228983","6,247670"
2013,Siječanj,Švicarska,756,CHF,1,"6,147894","6,166394","6,184893"
2013,Veljača,Švicarska,756,CHF,1,"6,143191","6,161676","6,180162"
2013,Ožujak,Švicarska,756,CHF,1,"6,167040","6,185597","6,204154"
2013,Travanj,Švicarska,756,CHF,1,"6,215622","6,234325","6,253028"
2013,Svibanj,Švicarska,756,CHF,1,"6,085858","6,104171","6,122483"
2013,Lipanj,Švicarska,756,CHF,1,"6,065771","6,084023","6,102275"
2013,Srpanj,Švicarska,756,CHF,1,"6,042955","6,061138","6,079322"
2013,Kolovoz,Švicarska,756,CHF,1,"6,081804","6,100104","6,118404"
2013,Rujan,Švicarska,756,CHF,1,"6,129806","6,148251","6,166696"
2013,Listopad,Švicarska,756,CHF,1,"6,166729","6,185285","6,203841"
2013,Studeni,Švicarska,756,CHF,1,"6,173186","6,191761","6,210337"
2013,Prosinac,Švicarska,756,CHF,1,"6,213446","6,232143","6,250839"
2014,Siječanj,Švicarska,756,CHF,1,"6,175671","6,194254","6,212837"
2014,Veljača,Švicarska,756,CHF,1,"6,247621","6,266420","6,285219"
2014,Ožujak,Švicarska,756,CHF,1,"6,268172","6,287034","6,305895"
2014,Travanj,Švicarska,756,CHF,1,"6,238578","6,257350","6,276122"
2014,Svibanj,Švicarska,756,CHF,1,"6,203619","6,222286","6,240952"
2014,Lipanj,Švicarska,756,CHF,1,"6,197373","6,216021","6,234669"
2014,Srpanj,Švicarska,756,CHF,1,"6,237160","6,255927","6,274695"
2014,Kolovoz,Švicarska,756,CHF,1,"6,273423","6,292300","6,311177"
2014,Rujan,Švicarska,756,CHF,1,"6,290816","6,309745","6,328674"
2014,Listopad,Švicarska,756,CHF,1,"6,317253","6,336262","6,355271"
2014,Studeni,Švicarska,756,CHF,1,"6,352268","6,371382","6,390497"
2014,Prosinac,Švicarska,756,CHF,1,"6,357729","6,376859","6,395990"
2015,Siječanj,Švicarska,756,CHF,1,"7,034032","7,055198","7,076364"
2015,Veljača,Švicarska,756,CHF,1,"7,242758","7,264551","7,286345"
2015,Ožujak,Švicarska,756,CHF,1,"7,182636","7,204249","7,225862"
2015,Travanj,Švicarska,756,CHF,1,"7,296767","7,318723","7,340679"
2015,Svibanj,Švicarska,756,CHF,1,"7,246172","7,267976","7,289780"
2015,Lipanj,Švicarska,756,CHF,1,"7,226115","7,247859","7,269602"
2015,Srpanj,Švicarska,756,CHF,1,"7,209658","7,231352","7,253046"
2015,Kolovoz,Švicarska,756,CHF,1,"6,992551","7,013592","7,034632"
2015,Rujan,Švicarska,756,CHF,1,"6,922130","6,942959","6,963787"
2015,Listopad,Švicarska,756,CHF,1,"6,985593","7,006613","7,027633"
2015,Studeni,Švicarska,756,CHF,1,"6,995729","7,016779","7,037829"
2015,Prosinac,Švicarska,756,CHF,1,"7,028604","7,049754","7,070903"
2016,Siječanj,Švicarska,756,CHF,1,"6,983015","7,004027","7,025039"
2016,Veljača,Švicarska,756,CHF,1,"6,904832","6,925609","6,946386"
2016,Ožujak,Švicarska,756,CHF,1,"6,909510","6,930301","6,951092"
2016,Travanj,Švicarska,756,CHF,1,"6,838139","6,858715","6,879291"
2016,Svibanj,Švicarska,756,CHF,1,"6,762775","6,783124","6,803474"
2016,Lipanj,Švicarska,756,CHF,1,"6,867883","6,888549","6,909214"
2016,Srpanj,Švicarska,756,CHF,1,"6,872070","6,892748","6,913427"
2016,Kolovoz,Švicarska,756,CHF,1,"6,857964","6,878600","6,899236"
2016,Rujan,Švicarska,756,CHF,1,"6,836681","6,857253","6,877825"
2016,Listopad,Švicarska,756,CHF,1,"6,873276","6,893958","6,914640"
2016,Studeni,Švicarska,756,CHF,1,"6,965350","6,986309","7,007268"
2016,Prosinac,Švicarska,756,CHF,1,"6,982812","7,003823","7,024835"
2017,Siječanj,Švicarska,756,CHF,1,"7,009316","7,030407","7,051499"
2017,Veljača,Švicarska,756,CHF,1,"6,970553","6,991528","7,012502"
2017,Ožujak,Švicarska,756,CHF,1,"6,911526","6,932323","6,953120"
2017,Travanj,Švicarska,756,CHF,1,"6,922791","6,943622","6,964453"
2017,Svibanj,Švicarska,756,CHF,1,"6,802657","6,823126","6,843596"
2017,Lipanj,Švicarska,756,CHF,1,"6,791436","6,811871","6,832307"
2017,Srpanj,Švicarska,756,CHF,1,"6,690735","6,710868","6,731001"
2017,Kolovoz,Švicarska,756,CHF,1,"6,475650","6,495135","6,514620"
2017,Rujan,Švicarska,756,CHF,1,"6,474776","6,494259","6,513742"
2017,Listopad,Švicarska,756,CHF,1,"6,484670","6,504182","6,523695"
2017,Studeni,Švicarska,756,CHF,1,"6,463973","6,483424","6,502874"
2017,Prosinac,Švicarska,756,CHF,1,"6,437152","6,456522","6,475892"
2018,Siječanj,Švicarska,756,CHF,1,"6,327348","6,346387","6,365426"
2018,Veljača,Švicarska,756,CHF,1,"6,418061","6,437374","6,456686"
2018,Ožujak,Švicarska,756,CHF,1,"6,353262","6,372379","6,391496"
2018,Travanj,Švicarska,756,CHF,1,"6,228549","6,247291","6,266033"
2018,Svibanj,Švicarska,756,CHF,1,"6,234496","6,253256","6,272016"
2018,Lipanj,Švicarska,756,CHF,1,"6,363619","6,382767","6,401915"
2018,Srpanj,Švicarska,756,CHF,1,"6,341121","6,360202","6,379282"
2018,Kolovoz,Švicarska,756,CHF,1,"6,466504","6,485962","6,505420"
2018,Rujan,Švicarska,756,CHF,1,"6,558581","6,578315","6,598050"
2018,Listopad,Švicarska,756,CHF,1,"6,484476","6,503988","6,523500"
2018,Studeni,Švicarska,756,CHF,1,"6,509264","6,528850","6,548437"
2018,Prosinac,Švicarska,756,CHF,1,"6,530886","6,550538","6,570189"
2019,Siječanj,Švicarska,756,CHF,1,"6,556916","6,576647","6,596377"
2019,Veljača,Švicarska,756,CHF,1,"6,499792","6,519350","6,538908"
2019,Ožujak,Švicarska,756,CHF,1,"6,532733","6,552390","6,572048"
