Godina,Mjesec,Država,Šifra valute,Valuta,Jedinica,Kupovni za devize,Srednji za devize,Prodajni za devize
2011,Siječanj,EMU,978,EUR,1,"7,374230","7,396420","7,418609"
2011,Veljača,EMU,978,EUR,1,"7,388640","7,410873","7,433105"
2011,Ožujak,EMU,978,EUR,1,"7,371568","7,393749","7,415930"
2011,Travanj,EMU,978,EUR,1,"7,340125","7,362212","7,384299"
2011,Svibanj,EMU,978,EUR,1,"7,369052","7,391226","7,413400"
2011,Lipanj,EMU,978,EUR,1,"7,389960","7,412196","7,434433"
2011,Srpanj,EMU,978,EUR,1,"7,397478","7,419738","7,441997"
2011,Kolovoz,EMU,978,EUR,1,"7,432600","7,454965","7,477330"
2011,Rujan,EMU,978,EUR,1,"7,464384","7,486844","7,509305"
2011,Listopad,EMU,978,EUR,1,"7,460874","7,483324","7,505774"
2011,Studeni,EMU,978,EUR,1,"7,465271","7,487735","7,510198"
2011,Prosinac,EMU,978,EUR,1,"7,484657","7,507179","7,529700"
2012,Siječanj,EMU,978,EUR,1,"7,524066","7,546707","7,569347"
2012,Veljača,EMU,978,EUR,1,"7,556646","7,579384","7,602122"
2012,Ožujak,EMU,978,EUR,1,"7,516971","7,539590","7,562208"
2012,Travanj,EMU,978,EUR,1,"7,471874","7,494357","7,516840"
2012,Svibanj,EMU,978,EUR,1,"7,506353","7,528940","7,551527"
2012,Lipanj,EMU,978,EUR,1,"7,523945","7,546585","7,569225"
2012,Srpanj,EMU,978,EUR,1,"7,472012","7,494496","7,516979"
2012,Kolovoz,EMU,978,EUR,1,"7,464317","7,486777","7,509237"
2012,Rujan,EMU,978,EUR,1,"7,404290","7,426569","7,448849"
2012,Listopad,EMU,978,EUR,1,"7,477919","7,500421","7,522922"
2012,Studeni,EMU,978,EUR,1,"7,513839","7,536449","7,559058"
2012,Prosinac,EMU,978,EUR,1,"7,506871","7,529460","7,552048"
2013,Siječanj,EMU,978,EUR,1,"7,545042","7,567746","7,590449"
2013,Veljača,EMU,978,EUR,1,"7,559652","7,582399","7,605146"
2013,Ožujak,EMU,978,EUR,1,"7,563024","7,585782","7,608539"
2013,Travanj,EMU,978,EUR,1,"7,579677","7,602485","7,625292"
2013,Svibanj,EMU,978,EUR,1,"7,545419","7,568123","7,590828"
2013,Lipanj,EMU,978,EUR,1,"7,477846","7,500346","7,522847"
2013,Srpanj,EMU,978,EUR,1,"7,471630","7,494112","7,516594"
2013,Kolovoz,EMU,978,EUR,1,"7,498789","7,521353","7,543918"
2013,Rujan,EMU,978,EUR,1,"7,564443","7,587204","7,609966"
2013,Listopad,EMU,978,EUR,1,"7,591576","7,614419","7,637262"
2013,Studeni,EMU,978,EUR,1,"7,604797","7,627680","7,650563"
2013,Prosinac,EMU,978,EUR,1,"7,610302","7,633202","7,656101"
2014,Siječanj,EMU,978,EUR,1,"7,606931","7,629820","7,652710"
2014,Veljača,EMU,978,EUR,1,"7,632008","7,654972","7,677937"
2014,Ožujak,EMU,978,EUR,1,"7,631477","7,654440","7,677404"
2014,Travanj,EMU,978,EUR,1,"7,604576","7,627459","7,650341"
2014,Svibanj,EMU,978,EUR,1,"7,570884","7,593665","7,616446"
2014,Lipanj,EMU,978,EUR,1,"7,550834","7,573554","7,596275"
2014,Srpanj,EMU,978,EUR,1,"7,577009","7,599809","7,622608"
2014,Kolovoz,EMU,978,EUR,1,"7,603122","7,626000","7,648878"
2014,Rujan,EMU,978,EUR,1,"7,595663","7,618519","7,641375"
2014,Listopad,EMU,978,EUR,1,"7,627507","7,650459","7,673410"
2014,Studeni,EMU,978,EUR,1,"7,640903","7,663895","7,686887"
2014,Prosinac,EMU,978,EUR,1,"7,644074","7,667075","7,690076"
2015,Siječanj,EMU,978,EUR,1,"7,656786","7,679826","7,702865"
2015,Veljača,EMU,978,EUR,1,"7,686415","7,709544","7,732673"
2015,Ožujak,EMU,978,EUR,1,"7,625180","7,648124","7,671068"
2015,Travanj,EMU,978,EUR,1,"7,572074","7,594858","7,617643"
2015,Svibanj,EMU,978,EUR,1,"7,531230","7,553892","7,576554"
2015,Lipanj,EMU,978,EUR,1,"7,542331","7,565026","7,587721"
2015,Srpanj,EMU,978,EUR,1,"7,556555","7,579293","7,602031"
2015,Kolovoz,EMU,978,EUR,1,"7,531733","7,554396","7,577059"
2015,Rujan,EMU,978,EUR,1,"7,551743","7,574467","7,597190"
2015,Listopad,EMU,978,EUR,1,"7,599967","7,622835","7,645704"
2015,Studeni,EMU,978,EUR,1,"7,575581","7,598376","7,621171"
2015,Prosinac,EMU,978,EUR,1,"7,611778","7,634682","7,657586"
2016,Siječanj,EMU,978,EUR,1,"7,629818","7,652777","7,675735"
2016,Veljača,EMU,978,EUR,1,"7,613758","7,636668","7,659578"
2016,Ožujak,EMU,978,EUR,1,"7,543798","7,566498","7,589197"
2016,Travanj,EMU,978,EUR,1,"7,472135","7,494619","7,517102"
2016,Svibanj,EMU,978,EUR,1,"7,471740","7,494223","7,516705"
2016,Lipanj,EMU,978,EUR,1,"7,489379","7,511915","7,534451"
2016,Srpanj,EMU,978,EUR,1,"7,467048","7,489517","7,511985"
2016,Kolovoz,EMU,978,EUR,1,"7,455280","7,477713","7,500147"
2016,Rujan,EMU,978,EUR,1,"7,467600","7,490070","7,512540"
2016,Listopad,EMU,978,EUR,1,"7,480423","7,502932","7,525441"
2016,Studeni,EMU,978,EUR,1,"7,490724","7,513263","7,535803"
2016,Prosinac,EMU,978,EUR,1,"7,511654","7,534257","7,556859"
2017,Siječanj,EMU,978,EUR,1,"7,512384","7,534989","7,557594"
2017,Veljača,EMU,978,EUR,1,"7,428366","7,450718","7,473070"
2017,Ožujak,EMU,978,EUR,1,"7,397451","7,419710","7,441969"
2017,Travanj,EMU,978,EUR,1,"7,418842","7,441166","7,463489"
2017,Svibanj,EMU,978,EUR,1,"7,411332","7,433633","7,455934"
2017,Lipanj,EMU,978,EUR,1,"7,383450","7,405667","7,427884"
2017,Srpanj,EMU,978,EUR,1,"7,383457","7,405674","7,427891"
2017,Kolovoz,EMU,978,EUR,1,"7,376569","7,398765","7,420961"
2017,Rujan,EMU,978,EUR,1,"7,427845","7,450196","7,472546"
2017,Listopad,EMU,978,EUR,1,"7,478828","7,501332","7,523836"
2017,Studeni,EMU,978,EUR,1,"7,522006","7,544639","7,567273"
2017,Prosinac,EMU,978,EUR,1,"7,521283","7,543915","7,566546"
2018,Siječanj,EMU,978,EUR,1,"7,417881","7,440202","7,462522"
2018,Veljača,EMU,978,EUR,1,"7,411834","7,434137","7,456439"
2018,Ožujak,EMU,978,EUR,1,"7,414203","7,436512","7,458822"
